Ref,Group,Kind,Suggested item,Trim type (as on WO),Description (as on WO),Styles using,New Sage code,Unit cost (GBP),Style codes
T456,Care / wash labels,Trim,Oh care label,OH care label,Wash/care instructions 65% recycled polyester/35% organic cotton - 60 degree wash/2 dot iron/p dry clean/ do not bleach/ tumble dry low / Label set 4cm down from top of finished RIGHT side seam as worn.,5,,,OHAPP078603; OHAPP078615; OHAPP0786248; OHAPP078682; OHAPP078683
T457,Care / wash labels,Trim,Oh care label,OH care label,OH care label - 100%cotton 50 degree wash/ no bleach/ 2 dot iron/no tumble dry/ dry clean set label 4cm down from finished right side seam as worn,3,,,OHAPP063103DENDS; OHAPP0631224DENDS; OHAPP0631GDDS
T458,Care / wash labels,Trim,Oh care label,OH care label,Wash instruction - 50% polyester 50% cotton mesh - 100% polyester 65 degree wash/ do not bleach/low tumble dry/2 dot iron/ p dry clean / Set to right hand side inside seam / Label for garment name and manufacturing month and year only - behind wash label in side seam,3,,,OHLCJHAMPSHIRE--01; OHLCJSHAMPSHIRE--01; OHLCJSHAMPSHIRE--03
T459,Care / wash labels,Trim,Oh care label,OH care label,Wash/care instructions - 100% COTTON 50 DEGREE WASH/2 DOT IRON/P DRY CLEAN/ DO NOT BLEACH/DO NOT TUMBLE DRY / Label set 6cm down from top of finished RIGHT side seam as worn.,3,,,OHAPP0634911; OHAPP0634912; OHAPP0634913
T460,Care / wash labels,Trim,Oh care label,OH care label,OH care label - 100% organic cotton 40 degree wash/ no bleach/ 2 dot iron/ tumble dry low/ dry clean set label 4cm down from finished right side seam as worn,2,,,OHAPP0631153DS; OHAPP063115DS
T461,Care / wash labels,Trim,Oh care label,OH care label,OH care label - 100% organic cotton 40 degree wash/ no bleach/ 2 dot iron/tumble dry low/ p dry clean set label 4cm down from finished right side seam as worn,2,,,OHAPP0631241DS; OHAPP352801C
T462,Care / wash labels,Trim,Oh care label,OH care label,OH care label - 65% recycled polyester/35% organic cotton 60 degree wash/ no bleach/ 2 dot iron/tumble dry/ dry clean set label 4cm down from finished right side seam as worn,2,,,OHAPP3528248; OHAPP3528248S
T463,Care / wash labels,Trim,Oh care label,OH care label,OH care label - 65% recycled polyester/35%organic cotton 60 degree wash/ no bleach/ 2 dot iron/low tumble dry/ dry clean set label 4cm down from finished right side seam as worn,2,,,OHAP352801PC; OHAP352803PC
T464,Care / wash labels,Trim,Oh care label,OH care label,Oliver harvey 65% recycled polyester/35% organic cotton/ 60 degree wash/ do not bleach/ 2 dot iron/p dry clean/ low tumble dry - label set inside right side seam 10cm up from top of side split,2,,,OHLCJDERBYSHIRE--01; OHLCJSDERBYSHIRE--01S
T465,Care / wash labels,Trim,Oh care label,OH care label,Oliver Harvey wash instructions set under the woven label / 100 %COTTON - 50 degree wash - No bleach - 2 dot iron - No Tumble dry - Dry clean - SET LABEL UNDERNEATH OH WOVEN LABEL,2,,,OHAPP053403DEN; OHAPP0534224DEN
T466,Care / wash labels,Trim,Oh care label,OH care label,Wash label -65% polyester 35% cotton - 60 degree wash/ do not bleach/2 dot iron/ p dry clean/tumble dry . set to centre back rise seam to finish 8cm down from top edge / Label for garment name and manufacturing month and year only - behind wash label,2,,,OHCTLANCASHIRE--26; OHCTTLANCASHIRE--26
T467,Care / wash labels,Trim,Oh care label,OH care label,Wash/care instructions 65% POLYESTER/35% COTTON - 60 DEGREE WASH/2 DOT IRON/P DRY CLEAN/ DO NOT BLEACH/ TUMBLE DRY LOW / Label set 4cm down from top of finished RIGHT side seam as worn.,2,,,OHAPP078606; OHAPP0786153
T468,Care / wash labels,Trim,Oh care label,OH care label,OH care label - 100% cotton 60 degree wash/ no bleach/ 2 dot iron/tumble dry low/ p dry clean set label 4cm down from finished right side seam as worn,1,,,OHAPP352831
T469,Care / wash labels,Trim,Oh care label,OH care label,OH care label - 100% cotton/ 50 degree wash/ no bleach/ 2 dot iron/no tumble dry/ dry clean set label 4cm down from finished right side seam as worn,1,,,OHAPP0569GD
T470,Care / wash labels,Trim,Oh care label,OH care label,OH care label - 100% organic cotton 40 degree wash/ no bleach/ 2 dot iron/low tumble dry/ dry clean set label 4cm down from finished right side seam as worn,1,,,OHAP352801C
T471,Care / wash labels,Trim,Oh care label,OH care label,OH care label - 100% organic cotton 40 degree wash/ no bleach/ 2 dot iron/low tumble dry/ p dry clean set label 4cm down from finished right side seam as worn,1,,,OHAPP0631110DS
T472,Care / wash labels,Trim,Oh care label,OH care label,OH care label - 65% recycled polyester/35% organic cotton - 60 degree wash/ no bleach/ 2 dot iron/tumble dry low/ p dry clean set label 4cm down from finished right side seam as worn,1,,,OHAPP352883S
T473,Care / wash labels,Trim,Oh care label,OH care label,OH care label - 65% recycled polyester/35% organic cotton 60 degree wash/ no bleach/ 2 dot iron/ tumble dry/ p dry clean set label 4cm down from finished right side seam as worn,1,,,OHAPP352815
T474,Care / wash labels,Trim,Oh care label,OH care label,OH care label - 65% recycled polyester/35% organic cotton 60 degree wash/ no bleach/ 2 dot iron/low tumble dry/ dry clean set label 4cm down from finished right side seam as worn,1,,,OHAP352815
T475,Care / wash labels,Trim,Oh care label,OH care label,OH care label - 65% recycled polyester/35% organic cotton 60 degree wash/ no bleach/ 2 dot iron/no tumble dry/ dry clean set label 4cm down from finished right side seam as worn,1,,,OHAP3528248S
T476,Care / wash labels,Trim,Oh care label,OH care label,OH care label - 65% recycled polyester/35% organic cotton 60 degree wash/ no bleach/ 2 dot iron/tumble dry low/ p dry clean set label 4cm down from finished right side seam as worn,1,,,OHAP352883
T477,Care / wash labels,Trim,Oh care label,OH care label,OH care label - 65% recycled polyester/35% organic cotton 60 degree wash/ no bleach/ 2 dot iron/tumble dry/ dry clean set label 1cm below eyelet -re-enforcement piece right side seam as worn,1,,,OHAPP065203
T478,Care / wash labels,Trim,Oh care label,OH care label,OH care label - 65% recycled polyester/35% organic cotton 60 degree wash/ no bleach/ 2 dot iron/tumble dry/ dry clean set label 1cm below eyelet re-enforcement piece right side seam as worn,1,,,OHAPP0652248
T479,Care / wash labels,Trim,Oh care label,OH care label,OH care label - 65% recycled polyester/35% organic cotton 60 degree wash/ no bleach/ 2 dot iron/tumble dry/ dry clean set label 1cm below eyelet re-enforcement piece right side seam as worn.,1,,,OHAPP065215
T480,Care / wash labels,Trim,Oh care label,OH care label,OH care label - 65% recycled polyester/35%organic cotton - 60 degree wash/ no bleach/ 2 dot iron/tumble dry low/ p dry clean set label 4cm down from finished right side seam as worn,1,,,OHAPP352883
T481,Care / wash labels,Trim,Oh care label,OH care label,OH care label - 65% recycled polyester/35%organic cotton 60 degree wash/ no bleach/ 2 dot iron/ tumble dry/ dry clean set label 4cm down from finished right side seam as worn,1,,,OHAPP352803
T482,Care / wash labels,Trim,Oh care label,OH care label,OH care label - 65% recycled polyester/35%organic cotton 60 degree wash/ no bleach/ 2 dot iron/tumble dry low/ p dry clean set label 1cm down from eyelet re-inforcement piece right side seam as worn,1,,,OHAPP065283
T483,Care / wash labels,Trim,Oh care label,OH care label,OH care label - 65%recycled polyester/35% organic cotton 60 degree wash/ no bleach/ 2 dot iron/tumble dry low/ dry clean set label 4cm down from finished right side seam as worn,1,,,OHAPP352882
T484,Care / wash labels,Trim,Oh care label,OH care label,OH care label - set underneath oliver harvey woven label. 65% polyester/35% cotton - 60 degree wash/ 2 dot iron/ tumble dry low/do not bleach /p dry clean,1,,,OHCTLINCOLN--03
