Ref,Group,Kind,Suggested item,Trim type (as on WO),Description (as on WO),Styles using,New Sage code,Unit cost (GBP),Style codes
T169,Buttons,Trim,Button/holes,Button/holes,"Straight buttonholes, top buttonholes slanted into corners — 5/8"" blade",1,,,OHCJSMOXFORDNLL--01
T170,Buttons,Trim,Buttons,Buttons,12 utexbel fabric roll buttons - hand sewn,6,,,OHCJMDORSET--01LS; OHCJMDORSET--01; OHCJMDORSET--01L; OHCJSMDORSET--01; OHCJSMDORSET--01L; OHCJSMDORSET--01S
T171,Buttons,Trim,Buttons,BUTTONS,Jones p3536 36l buttons - white 10 buttons,2,,,OHCJNORFOLK--01; OHCJSNORFOLK--01
T172,Buttons,Trim,Buttons,Buttons,Squashed detachable buttons,2,,,OHCJMOXFORD--01; OHCJMOXFORD--03
T173,Buttons,Trim,Oh brass button,OH brass button,4 hole OH logo brass button,5,,,OHAPP0535241; OHAPP053583; OHAPP053515; OHAPP053515S; OHAPP0535222
T174,Buttons,Trim,Oh brass button,OH brass button,1 x OH brass button at front waistband,1,,,OHLCTSHROPSHIRE--03
T175,Buttons,Trim,Oh logo button,OH logo button,4 hole brass button - set 2cm in from armhole edge and centrally within depth of bib facing.,1,,,OHAPP0569GD
T176,Buttons,Trim,Oliver harvey brass button,Oliver harvey brass button,Oliver harvey brass button x 1 set to front waistband.,2,,,OHCTLINCOLN--03; OHCTTLINCOLN--03
T177,Rivets,Trim,Antique brass rivet,Antique brass rivet,Set to top of pocket mouth x 2 (010b/7p - 011b invert nipple rivet and post),2,,,OHAPP053403DEN; OHAPP0534224DEN
T178,Rivets,Trim,Antique brass rivets,Antique brass rivets x 4,010b/7p-011b antique brass invert nipple rivet and post. set to top corners of pocket,9,,,OHAPP063103DENDS; OHAPP0631224DENDS; OHAPP0631GDDS; OHAPP053503DENDS; OHAPP053503DSSHT; OHAPP0535224DENDS; OHAPP0535224DENDSSHT; OHAPP0535GDDS; OHAPP0535GDDSSHT
T179,Rivets,Trim,Antique brass rivets,Antique brass rivets x 4,010B/7P - 011B - Antique brass Invert nipple rivet and post - one at each top corner of pocket,7,,,OHAPP0574224RR; OHAPP0575224ST; OHAPP059703DEN153; OHAPP0597224DEN; OHAPP0597F03DEN153; OHAPP0597F224DEN; OHAPP0598224DEN
T180,Rivets,Trim,Antique brass rivets,Antique brass rivets x 6,010B/7P - 011B - Antique brass Invert nipple rivet and post - one at each top corner of pocket,4,,,OHAPP057215DEN; OHAPP0572224DEN; OHAPP0572F224DEN; OHAPP0573224
T181,Rivets,Trim,Antique brass rivets,Antique brass rivets x 2,010B/7P - 011B - Antique brass Invert nipple rivet and post - one at each top corner of pocket,3,,,OHAPP0596FGD; OHAPP0596GD; OHAPP0599GD
T182,Rivets,Trim,Antique brass rivets,Antique brass rivets x2,010B/7P - 011B - Antique brass Invert nipple rivet and post - one at each top corner of pocket,2,,,OHAPP061803DEN; OHAPP061903DEN
T183,Rivets,Trim,Antique brass rivets,Antique brass rivets,SET TO TOP OF POCKET MOUTH. ( 010B/7P - O11B Invert nipple rivet),1,,,OHAPP0569GD
T184,Rivets,Trim,Antique brass rivets,Antique brass rivets x4,010B/7P - 011B - Antique brass Invert nipple rivet and post - one at each top corner of pocket,1,,,OHAPP060003153DEN
T185,Rivets,Trim,Antique brass rivets- nipple rivets,Antique brass rivets- nipple rivets x 4 new lace - 011b/ab nipple 010b/7p prong,Nipple rivets set to top of slant pocket opening x 4,6,,,OHAPP078601; OHAPP078603; OHAPP078606; OHAPP0786153; OHAPP0786248; OHAPP078683
T186,Rivets,Trim,Antique brass rivets- nipple rivets,Antique brass rivets- nipple rivets x 4 new lace - 011b/ab nipple 010b/7p prong,Nipple rivets set to top of slant pocket openings x 4,2,,,OHAPP078615; OHAPP078682
T187,Rivets,Trim,Rivets,RIVETS,Antique brass invert nipple rivet and post (010b/7p 011b) total 4,3,,,OHAPP0630242KP; OHAPP0630681KP; OHAPP0630682KP
T188,Rivets,Trim,Rivets,RIVETS,Antique brass invert nipple rivet and post (010b/7p 011b) antique brass total 4,2,,,OHAPP063015KPLN; OHAPP063082KPLN
T189,Rivets,Trim,Rivets,RIVETS,010B/7P - 011B - Antique brass Invert nipple rivet and post - one at each top corner of pocket,1,,,OHAPP0534DENIM
T190,Rivets,Trim,Rivets,RIVETS,010B/7P post - 011B invert nipple rivets in antique brass colour - one at each top corner of pocket,1,,,OHAPP0534GD
T191,Eyelets,Trim,28mm silver eyelets,28mm silver eyelets,3 per garment. set to top of finished bib left side as worn. set centre of eyelet 3cm down from top and 3cm in from side . set to top of finished side seam of apron. set 3cm down from armhole and 3cm in from side seam.,1,,,OHAP0566PUTTY
T192,Eyelets,Trim,30mm antique brass eyelets,30mm antique brass eyelets,3 per garment. set to top of finished bib left side as worn. set centre of eyelet 3cm down from top and 3cm in from side . set to top of finished side seam of apron. set 3cm down from armhole and 3cm in from side seam.,3,,,OHAPP0590128; OHAPP0590156; OHAPP0590375
T193,Eyelets,Trim,30mm eyelet and ring antique brass 30mm e/r ab,30mm eyelet and ring antique brass 30mm e/r ab x 2,Set to top of waist. centre of eyelet set 3cm from top and 3cm from sides of apron.,7,,,OHAPP063103DENDS; OHAPP0631110DS; OHAPP0631153DS; OHAPP063115DS; OHAPP0631224DENDS; OHAPP0631241DS; OHAPP0631GDDS
T194,Eyelets,Trim,Antique brass 30mm eyelet,Antique brass 30mm eyelet x 2,30e/r ab antique brass eyelet and ring 30mm. set to top of side seam. cente of eyelet to be 3cm down from top of side seam and 3cm in from side seam.,8,,,OHAPP065103; OHAPP065115; OHAPP0651248; OHAPP065183; OHAPP065203; OHAPP065215; OHAPP0652248; OHAPP065283
T195,Eyelets,Trim,Antique brass eyelets,Antique brass eyelets x 2,30e/r ab antique brass eyelets 30mm . set to top of side seam. centre of eyelet 3cm down from top and 3cm in from side seam - finished. set to top edge of bib. centre of eyelet set 3cm from side of bib and 3cm from top of bib.,9,,,OHAPP0596FGD; OHAPP0596GD; OHAPP059703DEN153; OHAPP0597224DEN; OHAPP0597F03DEN153; OHAPP0597F224DEN; OHAPP061203DEN; OHAPP0612GD; OHAPP060003153DEN
T196,Eyelets,Trim,Antique brass eyelets,Antique brass eyelets,30e/r ab antique brass eyelets 30mm . set to top of side seam. centre of eyelet 3cm down from top and 3cm in from side seam - finished.,3,,,OHAPP0573224; OHAPP0574224RR; OHAPP0575224ST
T197,Eyelets,Trim,Antique brass eyelets,Antique brass eyelets x 2,30e/r ab antique brass eyelets 30mm . set to top of side seam. centre of eyelet 3cm down from top and 3cm in from side seam - finished.,1,,,OHAPP0598224DEN
T198,Eyelets,Trim,Antique brass eyelets,Antique brass eyelets x 2,30e/r ab antique brass eyelets 30mm . set to top of side seam. centre of eyelet 3cm down from top and 3cm in from side seam - finished. set to top edge of bib.,1,,,OHAPP0599GD
T199,Eyelets,Trim,Antique brass eyelets 30mm,Antique brass eyelets 30mm,30e/r ab 30mm. set so centre of eyelet is 3cm from finished top edge and 3cm in from finished side seam. total 2,12,,,OHAPP053503DENDS; OHAPP053503DSSHT; OHAPP0535110DS; OHAPP0535110DSSHT; OHAPP053515DS; OHAPP0535224DENDS; OHAPP0535224DENDSSHT; OHAPP0535241DS; OHAPP0535241DSSHT; OHAPP0535315DSSHT; OHAPP0535GDDS; OHAPP0535GDDSSHT
T200,Eyelets,Trim,Large antique brass eyelets,Large antique brass eyelets,30mm antique brass eyelet and ring,2,,,OHAPP063015KPLN; OHAPP063082KPLN
T201,"Buckles, sliders & rings",Trim,32mm bronze d rings,32mm bronze d rings,D rings set through leather loop. set to left side of bib as worn.,1,,,OHAPP0610241
T202,"Buckles, sliders & rings",Trim,Antique brass bar (single brass slider),ANTIQUE BRASS BAR (single brass slider),25mm rectangular ring x 1 - new lace -,2,,,OHAPP063014HP2; OHAPP063068HP2
T203,"Buckles, sliders & rings",Trim,Antique brass sliders,Antique brass sliders,25mm sab buck ab x 2 - new lace,3,,,OHAPP0634911; OHAPP0634912; OHAPP0634913
T204,"Buckles, sliders & rings",Trim,Antique brass sliders (double brass slider),ANTIQUE BRASS SLIDERS (double brass slider),25MM SAB BUCK AB X 1 triglide - NEW LACE x 2,3,,,OHAPP0630242KP; OHAPP0630681KP; OHAPP0630682KP
T205,"Buckles, sliders & rings",Trim,Antique brass sliders (double brass slider),ANTIQUE BRASS SLIDERS (double brass slider),25MM SAB BUCK AB X 1 triglide - NEW LACE,2,,,OHAPP063014HP2; OHAPP063068HP2
T206,"Buckles, sliders & rings",Trim,Antique brass tri glide slider buckle 25mm,Antique brass tri glide slider buckle 25mm x 2 new lace - sab25/ab x 2,Tri glide sliders set to neck strap for adjustment,6,,,OHAPP078601; OHAPP078603; OHAPP078606; OHAPP0786153; OHAPP078682; OHAPP078683
T207,"Buckles, sliders & rings",Trim,Antique brass tri glide slider buckle 25mm,Antique brass tri glide slider buckle 25mm x 2 new lace - sab25/ab x 2 - new lace,Tri glide sliders set to neck strap for adjustment,1,,,OHAPP078615
T208,"Buckles, sliders & rings",Trim,Antique brass tri glide slider buckle 25mm,Antique brass tri glide slider buckle 25mm x 2 sab25/ab x 2 - new lace,Tri glide sliders set to neck strap for adjustment,1,,,OHAPP0786248
T209,"Buckles, sliders & rings",Trim,Antique brass tri- glide slider,Antique brass Tri- glide slider,25mm Antique Brass slider x 2 (USE 1 tri glide slider as the rectangle loop),4,,,OHAPP065103; OHAPP065115; OHAPP0651248; OHAPP065183
T210,"Buckles, sliders & rings",Trim,Black 20mm waistcoat buckle,Black 20mm waistcoat buckle,X 1 set to back waist tab adjuster,1,,,OHLCTSURREY--03
T211,"Buckles, sliders & rings",Trim,Brass buckle,BRASS BUCKLE,Brass effect buckle dcf40flap,1,,,OHAPP0569GD
T212,"Buckles, sliders & rings",Trim,Buckle,BUCKLE,Brass effect style buckle - DCF40FLAP/Antique brass,9,,,OHAPP053403DEN; OHAPP0534224DEN; OHAPP053431; OHAPP0534GD; OHAPP0534BUTCHERS; OHAPP0534DAISEYDOT; OHAPP0534DENIM; OHAPP0534STRIPE; OHAPP0535241SHT5
T213,"Buckles, sliders & rings",Trim,Buckle,BUCKLE X 1,Antique brass buckle dcf40flap,6,,,OHAPP057215DEN; OHAPP0572224DEN; OHAPP0572F224DEN; OHAPP0573224; OHAPP0574224RR; OHAPP0575224ST
T214,"Buckles, sliders & rings",Trim,Buckle,BUCKLE,Antique brass buckle dcf40flap,5,,,OHAPP0535241; OHAPP053583; OHAPP053515; OHAPP053515S; OHAPP0535222
T215,"Buckles, sliders & rings",Trim,Concealed studs,Concealed studs,10 -nickle plated ring press studs. concealed female studs set to left front as worn set before make up. use marker per size,5,,,OHLCJDERBYSHIRE--01; OHLCJDERBYSHIRE--03; OHLCJSDERBYSHIRE--01; OHLCJSDERBYSHIRE--01S; OHLCJSDERBYSHIRE--03
T216,"Buckles, sliders & rings",Trim,D ring bronze 32mm,D ring bronze 32mm x 2,Set through leather strap with studs to secure. set to left side of bib as worn.,2,,,OHAPP061203DEN; OHAPP0612GD
T217,"Buckles, sliders & rings",Trim,Fastening,FASTENING,Black plastic tri glide slider / Black rectangle loop set with fabric loop - Right hand side as worn,11,,,OHAP052003; OHAP052015; OHAP0520248; OHAP052031; OHAP052031S; OHAP052082; OHAPP052003; OHAPP052015; OHAPP0520248; OHAPP052082; OHAPP052083
T218,"Buckles, sliders & rings",Trim,Large bronze studs male part set to apron female part set to leather trim,Large bronze studs male part set to apron female part set to leather trim,Use markers - set studs to attach leather trim at pocket and at bib top. set studs to attach neck strap and d ring loop at neck,1,,,OHAPP0610241
T219,"Buckles, sliders & rings",Trim,Leather trim,LEATHER TRIM,1 long neck strap .1 x short strap with d ring loop. 1 x pocket strap. 1 x short bib strap,3,,,OHAPP0610241; OHAPP061203DEN; OHAPP0612GD
T220,"Buckles, sliders & rings",Trim,Ring studs,RING STUDS,5 X nickel plated ring press studs,5,,,OHCJSSUFFOLK--01; OHCJSSUFFOLK--01S; OHCJSSUFFOLK--03; OHCJSUFFOLK--01; OHCJSUFFOLK--03
T221,"Buckles, sliders & rings",Trim,Ring studs,RING STUDS,"Sizes 34"" to 42"" long length 5 X nickel plated ring press studs. sizes 44"" and upwards on long length to have 6 X ring studs",2,,,OHCJSSUFFOLK--01L; OHCJSSUFFOLK--03L
T222,"Buckles, sliders & rings",Trim,Stud fastened neck strap,Stud fastened neck strap,Supplied and set by outside supplier - leather neck strap with antique brass studs (2.5cm apart) antique brass buckle and d ring,1,,,OHAPP063082KPLN
T223,"Buckles, sliders & rings",Trim,Stud fastened neck strap,Stud fastened neck strap,Supplied by outside supplier - leather neck strap with antique brass caps (2.5cm apart) antique brass buckle and d ring,1,,,OHAPP063015KPLN
T224,"Buckles, sliders & rings",Trim,Studs,Studs,10 x nickel-plated ring press studs,6,,,OHCJSMCHESHIRE--01; OHCJMCHESHIRE--01; OHCJMCHESHIRE--01L; OHCJMCHESHIRE--03; OHCJSMCHESHIRE--01L; OHCJSMCHESHIRE--03
T225,"Buckles, sliders & rings",Trim,Studs,STUDS,10 X nickel plated ring press studs,5,,,OHCJCUMBRIA--01; OHCJCUMBRIA--01L; OHCJCUMBRIA--03; OHCJSCUMBRIA--01L; OHCJSCUMBRIA--03
T226,"Buckles, sliders & rings",Trim,Studs,Studs,"5 x nickel-plated ring press studs — concealed female studs set to left front (overlock front edge then set female studs pre-make-up, see JH for marker)",1,,,OHBABYCHEFJKT
T227,Zips,Trim,Antique brass zip,Antique brass zip,"18cm (7"") black zip with antique brass metal teeth mgkbc56c/7/18",2,,,OHAPP061803DEN; OHAPP061903DEN
T228,Zips,Trim,Black mediumweight spiral zip,Black mediumweight spiral zip x 1,"Size 26"" to 28"" to be 5"" (13cm)zip zip cnc56c/5/13 black sizes 30"" to 40"" to be 6"" (15cm)zip cnc56c/6/15 black",1,,,OHCTLINCOLN--03
T229,Zips,Trim,Single open end zip - moulded size 5 - black,Single open end zip - moulded size 5 - black,Single open end zip black moulded teeth size 5 - 51cm length for size 6 - 16 for size 18 to 20 length 54cm,1,,,OHLCJSHAMPSHIRE--03
T230,Zips,Trim,Single open end zip - moulded size 5 - white,Single open end zip - moulded size 5 - white,Single open end zip white moulded teeth size 5 - 51cm length for size 6 - 16 for size 18 to 20 length 54cm,2,,,OHLCJHAMPSHIRE--01; OHLCJSHAMPSHIRE--01
T231,Zips,Trim,Ykk zip black metal teeth no. 5 weight,YKK zip black metal teeth no. 5 weight,"BLACK TAPE BLACK METAL TEETH. TO BE 7"" (18CM)ZIP. YGRKC/36/18/BLACK SIZES 8 - 20 8"" (20cm)zip from sizes 22 - 24",1,,,OHLCTSURREY--03
T232,Zips,Trim,Zip,ZIP,"5"" zip (13cm) black nylon moulded (chunky) teeth (vsc56c/5/13/black) - size XXS to large 6"" zip (15cm) black nylon moulded (chunky) teeth ( vsc56c/6/15/black)- size xlarge upwards",2,,,OHCTLANCASHIRE--03; OHCTTLANCASHIRE--03
T233,Zips,Trim,Zip,ZIP,"5"" zip (13cm) white nylon moulded (chunky) teeth (vsc56c/5/13/white) - size XXS to large 6"" zip (15cm) white nylon moulded (chunky) teeth ( vsc56c/6/15/white)- size xlarge upwards",2,,,OHCTLANCASHIRE--26; OHCTTLANCASHIRE--26
T234,Zips,Trim,Zip,ZIP,"Optilon 6"" nylon white chunckier design zip",2,,,OHCTDURHAM--26; OHCTTDURHAM--26
T235,Zips,Trim,Zip,ZIP,"Black mediumweight spiral zip. size 26"" to 28"" to be 5"" (13cm)zip - sizes 30"" to 36"" to be 6"" (15cm)zip.",1,,,OHCTTLINCOLN--03
T236,Zips,Trim,Zip,ZIP,"Optilon 6"" nylon black chunckier design zip",1,,,OHCTTDURHAM--03
T237,Zips,Trim,Zip,ZIP,"Optilon 6"" nylon black moulded zip",1,,,OHCTDURHAM--03
T238,Zips,Trim,Zip ykk black tape black metal teeth,Zip YKK black tape black metal teeth,Zip ygrkc/36/5/13 black metal teeth sizes 6 - 16 zip ygrkc/36/6/15.5 black metal teeth size 18 - 24,1,,,OHLCTSHROPSHIRE--03
T239,Velcro,Trim,Black velcro 20mm hook and loop cut 4cm,Black velcro 20mm hook and loop cut 4cm,Hook velcro set centrally within width of pocket and level with top edge loop velcro set to underside flap. set to cut flap centrally to width and 2cm from lower edge of flap.,2,,,OHCTLANCASHIRE--03; OHCTTLANCASHIRE--03
T240,Velcro,Trim,Velcro,Velcro,"Black 16 mm — cut at length 6 cm, hook and loop",3,,,TI004109; TI005109; TI006109
T241,Velcro,Trim,Velcro,Velcro,Black — hook and loop 16 mm: 16 mm width cut at 6 cm loop / 16 mm width cut at 10 cm hook,3,,,OHHTM016003; OHHTM016015; OHHTM0160248
T242,Velcro,Trim,Velcro,Velcro,White — hook and loop 16 mm: 16 mm width cut at 6 cm loop / 16 mm width cut at 10 cm hook,1,,,OHHTM016001
T243,Velcro,Trim,White velcro 20mm hook and loop cut 4cm,White velcro 20mm hook and loop cut 4cm,Hook velcro set centrally within width of pocket and level with top edge loop velcro set to underside flap. set to cut flap centrally to width and 2cm from lower edge of flap.,2,,,OHCTLANCASHIRE--26; OHCTTLANCASHIRE--26
T244,Elastic,Trim,Bonidex elastic,Bonidex elastic,Black elastic 48mm,1,,,OHLCTSHROPSHIRE--03
T245,Elastic,Trim,Elastic 48mm elastic black,Elastic 48mm elastic black,"Cut elastic XXS - 18"" XS - 22"" small - 24"" medium - 28"" large - 31"" xlarge 33"" - XXL 35"" 46"" cut at 36"" 48"" cut at 38"" 50"" cut at 40"" 52"" cut at 42""",2,,,OHCTLANCASHIRE--03; OHCTTLANCASHIRE--03
T246,Elastic,Trim,Elastic 48mm elastic white,Elastic 48mm elastic white,"Cut elastic XXS - 18"" XS - 22"" small - 24"" medium - 28"" large - 31"" xlarge 33"" - XXL 35"" 46"" cut at 36"" 48"" cut at 38"" 50"" cut at 40"" 52"" cut at 42""",2,,,OHCTLANCASHIRE--26; OHCTTLANCASHIRE--26
T247,Elastic,Trim,Elastic white 25mm,Elastic white 25mm,SET TO BACK WAIST. CUT size 6 at 9CM 8 at 9.5cm. 10 at 10cm. 12 at 10.5cm 14 at 11cm. 16 at 11.5cm 18 at 12cm 20 at 12.5cm,1,,,OHLCTSURREY--03
T248,Ties & straps,Trim,OH logo non-tangle tape ties — black,TIES,"Oliver Harvey Black non tangle tape / To read ""Oliver Harvey"" the right way up on both side.",9,,,OHAP052003; OHAP052015; OHAP0520248; OHAP052082; OHAPP052003; OHAPP052015; OHAPP0520248; OHAPP052082; OHAPP052083
T249,Ties & straps,Trim,OH logo non-tangle tape ties — black,OH non tangle ties,OH black non tangle ties cut at 100cm. heat sealed at ends.,5,,,OHAP300503PCL; OHAP300505; OHAP300515L; OHAP300583; OHAPP300503PCL
T250,Ties & straps,Trim,OH logo non-tangle tape ties — black,TIES,"Black oliver harvey printed non tangle tape ties / To read ""oliver harvey "" from left to right on both sides of the apron",5,,,OHAP352803RS; OHAP352803VARI; OHAP3528248; OHAP352847; OHAP352882
T251,Ties & straps,Trim,OH logo non-tangle tape ties — black,OH non tangle tape cut at 100cm,Black oliver harvey non tangle tape for waist ties. ensure woridng correct way up.,4,,,OHAPP0535241; OHAPP053583; OHAPP053515; OHAPP0535222
T252,Ties & straps,Trim,OH logo non-tangle tape ties — black,OH non tangle ties black,Oliver harvey non tangle ties. cut 100 cm. heat sealed at ends. ensure oliver harvey wording reads correct way up.,4,,,OHAPP352803; OHAPP3528248; OHAPP352831; OHAPP352883
T253,Ties & straps,Trim,OH logo non-tangle tape ties — black,OH non tangle ties black,Oliver harvey non tangle ties. cut 99cm. ensure oliver harvey wording reads correct way up.,3,,,OHAP352803PC; OHAP352815; OHAP352883
T254,Ties & straps,Trim,OH logo non-tangle tape ties — black,TIES,Black Oliver Harvey logo'd tape - Oliver Harvey to read from right the left.,3,,,OHAPP053431; OHAPP0534GD; OHAPP0534BUTCHERS
T255,Ties & straps,Trim,OH logo non-tangle tape ties — black,TIES,"Oliver harvey black non tangle tape / To read ""oliver harvey"" from left to right on both sides of the apron",3,,,OHAPP300503; OHAPP300515; OHAPP3005248
T256,Ties & straps,Trim,OH logo non-tangle tape ties — black,OH non tangle ties black,Oliver harvey non tangle ties. cut 100cm. heat sealed at ends. ensure oliver harvey wording reads correct way up.,2,,,OHAPP352815; OHAPP352882
T257,Ties & straps,Trim,OH logo non-tangle tape ties — black,OH waist ties,Black Oliver Harvey logo'd tape - Oliver Harvey to read from LEFT TO RIGHT cut at 100cm.,2,,,OHAPP053403DEN; OHAPP0534224DEN
T258,Ties & straps,Trim,OH logo non-tangle tape ties — black,OH non tangle ties,OH black non tangle ties,1,,,OHAP300503PC
T259,Ties & straps,Trim,OH logo non-tangle tape ties — black,OH non tangle ties,OH black non tangle ties. cut at 100cm heat sealed at ends.,1,,,OHAP3005248L
T260,Ties & straps,Trim,OH logo non-tangle tape ties — black,OH non tangle ties,Oliver harvey black non tangle ties. ensure oliver harvey wording reads correct way up.,1,,,OHAPP0569GD
T261,Ties & straps,Trim,OH logo non-tangle tape ties — black,TIES,OLIVER HARVEY Black Non tangle tape,1,,,OHAP052031
T262,Ties & straps,Trim,OH logo non-tangle tape ties — black,TIES,"OLIVER HARVEY NON TANGLE TAPE - BLACK - ENSURE OH wording reads correct way up- cut at 39"" double hemmed at end.",1,,,OHAPP0534DENIM
T263,Ties & straps,Trim,OH logo non-tangle tape ties — white,OH non tangle ties,OH white non tangle ties,2,,,OHAP300501C; OHAP300501PC
T264,Ties & straps,Trim,OH logo non-tangle tape ties — white,OH non tangle ties white,Oliver harvey non tangle ties. cut 99cm. ensure oliver harvey wording reads correct way up.,2,,,OHAP352801C; OHAP352801PC
T265,Ties & straps,Trim,OH logo non-tangle tape ties — white,TIES,White Oliver Harvey logo'd tape - Oliver Harvey to read from right the left.,2,,,OHAPP0534DAISEYDOT; OHAPP0534STRIPE
T266,Ties & straps,Trim,OH logo non-tangle tape ties — white,OH non tangle ties white,Oliver harvey non tangle ties. cut 100cm. heat sealed at ends. ensure oliver harvey wording reads correct way up.,1,,,OHAPP352801C
T267,Ties & straps,Trim,OH logo non-tangle tape ties — white,TIES,Oliver harvey black or white non tangle tape / USE HALF OF TAPE FOR APRONS 2/3 YRS TO 6/7 YEARS - 50cm For sizes 8/9 years upwards use full length OH tie cut at 99cm,1,,,OHKIDSBIB--
T268,Ties & straps,Trim,Oliver havey waist ties black,Oliver havey waist ties black,Set into top of side seam. ensure writing correct way up,1,,,OHAPP0535241SHT5
T269,Ties & straps,Trim,Plain black non-tangle tape ties,Black plain non tangle ties,Non tangle ties. cut 100 cm. heat sealed at ends.,1,,,OHAPP352883S
T270,Ties & straps,Trim,Plain black non-tangle tape ties,Non tangle plain waist ties black,Black plain non tangle ties. cut 100cm. heat sealed at ends.,1,,,OHAPP3528248S
T271,Ties & straps,Trim,Plain black non-tangle tape ties,OH non tangle ties,Plain black non tangle ties,1,,,OHAP300503PCS
T272,Ties & straps,Trim,Plain black non-tangle tape ties,Plain black non tangle tape cut at 100cm,Black non tangle tape for waist ties.,1,,,OHAPP053515S
T273,Ties & straps,Trim,Plain black non-tangle tape ties,Plain black non tangle ties black,Plain black non tangle ties for waist. cut 100cm.,1,,,OHAP3528248S
T274,Ties & straps,Trim,Plain black non-tangle tape ties,TIES,Plain BLACK Apron tape ties,1,,,OHAP052031S
T275,Towel loops,Trim,OH logo non-tangle tape — black (towel loop),TOWEL LOOP,Cut 39cm. Black Oliver Harvey logo'd tape - Oliver Harvey to read from top to bottom,29,,,OHTAB921; OHTAB01; OHTAB03; OHTAB04; OHTAB06; OHTAB11; OHTAB14; OHTAB15; OHTAB24; OHTAB82; OHTAB83; OHTAB131; OHTAB286; OHSTRAP--WAIST; OHAPP053503DENDS; OHAPP053503DSSHT; OHAPP0535110DS; OHAPP0535110DSSHT; OHAPP053515DS; OHAPP0535224DENDS; OHAPP0535224DENDSSHT; OHAPP0535241DS; OHAPP0535241DSSHT; OHAPP0535315DSSHT; OHAPP0535GDDS; OHAPP0535GDDSSHT; OHSTRAP04; OHSTRAP--SHT; OHSTRAP--
T276,Towel loops,Trim,OH logo non-tangle tape — black (towel loop),OH towel loop black,Cut at 54cm. set so oliver harvey letters read down. set 15cm in from finished edge of left side seam as worn.,9,,,OHAP352803PC; OHAP352815; OHAP352883; OHAPP352803; OHAPP352815; OHAPP3528248; OHAPP352831; OHAPP352882; OHAPP352883
T277,Towel loops,Trim,OH logo non-tangle tape — black (towel loop),TOWEL LOOP,"Black Oliver Harvey to read from top to bottom - Cut 15"" / Set to left side as worn into armhole stitching 17cm from side seam cut edge",9,,,OHAP052003; OHAP052015; OHAP0520248; OHAP052082; OHAPP052003; OHAPP052015; OHAPP0520248; OHAPP052082; OHAPP052083
T278,Towel loops,Trim,OH logo non-tangle tape — black (towel loop),OH towel loop,OH black non tangle tape cut at 39cm to make towel loop,6,,,OHAP300503PC; OHAP300503PCL; OHAP300505; OHAP300515L; OHAP3005248L; OHAPP300503PCL
T279,Towel loops,Trim,OH logo non-tangle tape — black (towel loop),OH towel loop,"Black OH Towel loop cut 39cm (15 1/2"") Set into armhole turning. Set 7.5cm in from cut edge of left side seam as worn.",4,,,OHAPP0535241; OHAPP053583; OHAPP053515; OHAPP0535222
T280,Towel loops,Trim,OH logo non-tangle tape — black (towel loop),TOWEL LOOP,Black Oliver Harvey logo'd tape - Oliver Harvey to read from top to bottom,3,,,OHAPP053431; OHAPP0534GD; OHAPP0534BUTCHERS
T281,Towel loops,Trim,OH logo non-tangle tape — black (towel loop),TOWEL LOOP,"Black oliver harvey non tangle tape to read from top to bottom - cut 15""",3,,,OHAPP300503; OHAPP300515; OHAPP3005248
T282,Towel loops,Trim,OH logo non-tangle tape — black (towel loop),TOWEL LOOP,Black Oliver Harvey logo'd tape - Oliver Harvey to read from top to bottom cut at 38cm. Set to left armhole as worn.,2,,,OHAPP053403DEN; OHAPP0534224DEN
T283,Towel loops,Trim,OH logo non-tangle tape — black (towel loop),TOWEL LOOP,"Black oliver harvey to read from top to bottom - cut 17""",2,,,OHAP352803VARI; OHAP352847
T284,Towel loops,Trim,OH logo non-tangle tape — black (towel loop),TOWEL LOOP,Black oliver harvey to read from top to bottom - cut 54cm,2,,,OHAP352803RS; OHAP3528248
T285,Towel loops,Trim,OH logo non-tangle tape — black (towel loop),OH towel loop,OH black non tangle tape cut at 39cm to make towel loop - ensure 2 x oliver harvey logo per loop,1,,,OHAP300583
T286,Towel loops,Trim,OH logo non-tangle tape — black (towel loop),OH towel loop,"Oliver harvey black non tangle tape. cut at 38cm (15"") set into left armhole as worn. set 7.5cm from cut edge side seam. ensure oliver harvey wording reads correct way up when you look at garment. oliver harvey to read down.",1,,,OHAPP0569GD
T287,Towel loops,Trim,OH logo non-tangle tape — black (towel loop),TOWEL LOOP,Black oliver harvey to read from top to bottom - cut 54cm / Wash label - 60 degree - 65% 35%,1,,,OHAP352882
T288,Towel loops,Trim,OH logo non-tangle tape — black (towel loop),TOWEL LOOP,OLIVER HARVEY Black non tangle tape cut 39cm. / Set to left side as worn into armhole stitching 17cm from side seam cut edge,1,,,OHAP052031
T289,Towel loops,Trim,OH logo non-tangle tape — black (towel loop),TOWEL LOOP,Oliver harvey non tangle tape - cut at 39cm - black . OH wording to read down.,1,,,OHAPP0534DENIM
T290,Towel loops,Trim,OH logo non-tangle tape — black (towel loop),Towel loop OH black,Oliver harvey towel loop cut 39cm,1,,,OHAPP0535241SHT5
T291,Towel loops,Trim,OH logo non-tangle tape — white (towel loop),OH towel loop white,Cut at 54cm. set so oliver harvey letters read down. set 15cm in from finished edge of left side seam as worn.,3,,,OHAP352801C; OHAP352801PC; OHAPP352801C
